instance p cost time
uf250-070.cnf 0.5 0 0.00574483
uf250-070.cnf 0.6 0 0.00825949
uf250-070.cnf 0.7 0 0.131588
uf250-070.cnf 0.8 0 3.38551
uf250-070.cnf 0.9 15 20.0002
uf250-071.cnf 0.1 0 1.9997
uf250-071.cnf 0.2 0 0.917327
uf250-071.cnf 0.3 0 0.0293391
uf250-071.cnf 0.4 0 0.0918406
uf250-071.cnf 0.5 0 0.0309803
uf250-071.cnf 0.6 0 0.0304329
uf250-071.cnf 0.7 0 0.884198
uf250-071.cnf 0.8 0 14.1541
uf250-071.cnf 0.9 15 20.0002
uf250-072.cnf 0.1 0 0.436135
uf250-072.cnf 0.2 0 0.849367
uf250-072.cnf 0.3 0 0.118234
uf250-072.cnf 0.4 0 0.207249
uf250-072.cnf 0.5 0 0.0419836
uf250-072.cnf 0.6 0 0.0164794
uf250-072.cnf 0.7 0 0.583563
uf250-072.cnf 0.8 3 20.0003
uf250-072.cnf 0.9 14 20.0003
uf250-073.cnf 0.1 0 0.0757316
uf250-073.cnf 0.2 0 0.0420475
uf250-073.cnf 0.3 0 0.00286591
uf250-073.cnf 0.4 0 0.00260668
uf250-073.cnf 0.5 0 0.00490484
uf250-073.cnf 0.6 0 0.00308365
uf250-073.cnf 0.7 0 0.00222346
uf250-073.cnf 0.8 0 0.0440743
uf250-073.cnf 0.9 0 16.9049
uf250-074.cnf 0.1 0 0.0648444
