instance p cost time
uuf250-059.cnf 0.6 1 0.0954224
uuf250-059.cnf 0.7 1 0.003801
uuf250-059.cnf 0.8 1 8.35517
uuf250-059.cnf 0.9 23 20.0002
uuf250-06.cnf 0.1 1 0.727834
uuf250-06.cnf 0.2 1 0.264314
uuf250-06.cnf 0.3 1 0.0122886
uuf250-06.cnf 0.4 1 0.00262836
uuf250-06.cnf 0.5 1 0.00409786
uuf250-06.cnf 0.6 1 0.00776899
uuf250-06.cnf 0.7 1 0.170417
uuf250-06.cnf 0.8 1 16.6631
uuf250-06.cnf 0.9 22 20.0003
uuf250-060.cnf 0.1 1 0.304063
uuf250-060.cnf 0.2 1 0.833323
uuf250-060.cnf 0.3 1 0.00730237
uuf250-060.cnf 0.4 1 0.0219916
uuf250-060.cnf 0.5 1 0.0303776
uuf250-060.cnf 0.6 1 0.0544769
uuf250-060.cnf 0.7 1 5.68351
uuf250-060.cnf 0.8 12 20.0002
uuf250-060.cnf 0.9 21 20.0003
uuf250-061.cnf 0.1 1 0.276676
uuf250-061.cnf 0.2 1 0.0622196
uuf250-061.cnf 0.3 1 0.00772336
uuf250-061.cnf 0.4 1 0.0284449
uuf250-061.cnf 0.5 1 0.00514976
uuf250-061.cnf 0.6 1 0.00724877
uuf250-061.cnf 0.7 1 0.0359504
uuf250-061.cnf 0.8 1 1.31081
uuf250-061.cnf 0.9 10 20.0003
uuf250-062.cnf 0.1 1 0.10239
uuf250-062.cnf 0.2 1 0.0130168
uuf250-062.cnf 0.3 1 0.0242462
uuf250-062.cnf 0.4 1 0.00459507
uuf250-062.cnf 0.5 1 0.00268008
uuf250-062.cnf 0.6 1 0.00525015
uuf250-062.cnf 0.7 1 0.0317787
uuf250-062.cnf 0.8 1 3.6075
uuf250-062.cnf 0.9 19 20.0003
uuf250-063.cnf 0.1 1 0.505623
uuf250-063.cnf 0.2 1 0.024734
uuf250-063.cnf 0.3 1 0.0209346
uuf250-063.cnf 0.4 1 0.00296584
uuf250-063.cnf 0.5 1 0.00420129
uuf250-063.cnf 0.6 1 0.00510102
uuf250-063.cnf 0.7 1 0.00408421
uuf250-063.cnf 0.8 1 0.854975
uuf250-063.cnf 0.9 21 20.0002
uuf250-064.cnf 0.1 1 1.31657
uuf250-064.cnf 0.2 1 0.0954695
uuf250-064.cnf 0.3 1 0.260622
uuf250-064.cnf 0.4 1 0.250121
uuf250-064.cnf 0.5 1 0.0158224
uuf250-064.cnf 0.6 1 0.0428861
uuf250-064.cnf 0.7 1 0.503574
uuf250-064.cnf 0.8 8 20.0002
uuf250-064.cnf 0.9 23 20.0003
uuf250-065.cnf 0.1 1 1.44485
uuf250-065.cnf 0.2 1 0.141935
uuf250-065.cnf 0.3 1 0.046808
uuf250-065.cnf 0.4 1 0.0054168
uuf250-065.cnf 0.5 1 0.00576295
uuf250-065.cnf 0.6 1 0.00667638
uuf250-065.cnf 0.7 1 0.055603
uuf250-065.cnf 0.8 1 11.8088
uuf250-065.cnf 0.9 20 20.0002
uuf250-066.cnf 0.1 1 0.724801
uuf250-066.cnf 0.2 1 0.0457518
uuf250-066.cnf 0.3 1 0.0593639
uuf250-066.cnf 0.4 1 0.00359166
uuf250-066.cnf 0.5 1 0.00434384
uuf250-066.cnf 0.6 1 0.00488651
uuf250-066.cnf 0.7 1 0.0317335
uuf250-066.cnf 0.8 14 20.0003
uuf250-066.cnf 0.9 21 20.0006
uuf250-067.cnf 0.1 1 0.43892
uuf250-067.cnf 0.2 1 0.22332
uuf250-067.cnf 0.3 1 0.0167934
uuf250-067.cnf 0.4 1 0.00486957
uuf250-067.cnf 0.5 1 0.0159303
uuf250-067.cnf 0.6 1 0.0118573
uuf250-067.cnf 0.7 1 0.166854
uuf250-067.cnf 0.8 1 14.8001
uuf250-067.cnf 0.9 18 20.0002
uuf250-068.cnf 0.1 1 0.0379875
uuf250-068.cnf 0.2 1 0.0139987
uuf250-068.cnf 0.3 1 0.0268024
uuf250-068.cnf 0.4 1 0.00373445
uuf250-068.cnf 0.5 1 0.00402008
uuf250-068.cnf 0.6 1 0.00581777
uuf250-068.cnf 0.7 1 0.00641711
uuf250-068.cnf 0.8 1 0.3636
uuf250-068.cnf 0.9 21 20.0002
uuf250-069.cnf 0.1 2 20.0002
uuf250-069.cnf 0.2 2 20.0002
uuf250-069.cnf 0.3 2 20.0002
uuf250-069.cnf 0.4 2 20.0002
uuf250-069.cnf 0.5 2 20.0003
uuf250-069.cnf 0.6 3 20.0002
uuf250-069.cnf 0.7 6 20.0002
uuf250-069.cnf 0.8 12 20.0003
uuf250-069.cnf 0.9 27 20.0002
uuf250-07.cnf 0.1 1 0.335352
uuf250-07.cnf 0.2 1 0.428887
uuf250-07.cnf 0.3 1 0.0222395
uuf250-07.cnf 0.4 1 0.00515576
uuf250-07.cnf 0.5 1 0.00237374
uuf250-07.cnf 0.6 1 0.029917
uuf250-07.cnf 0.7 1 0.100416
uuf250-07.cnf 0.8 10 20.0003
uuf250-07.cnf 0.9 24 20.0002
uuf250-070.cnf 0.1 1 0.445808
uuf250-070.cnf 0.2 1 0.275258
uuf250-070.cnf 0.3 1 0.122161
uuf250-070.cnf 0.4 1 0.061609
uuf250-070.cnf 0.5 1 0.00329501
uuf250-070.cnf 0.6 1 0.00989726
uuf250-070.cnf 0.7 1 0.00819473
uuf250-070.cnf 0.8 10 20.0002
uuf250-070.cnf 0.9 20 20.0002
uuf250-071.cnf 0.1 1 1.99682
